date,temp,rack_config,rack_no,
20221204,28.5,A,24,
20221204,28.5,B,65,
20221204,28.5,C,42,
20221204,31,A,15,
20221204,31,B,75,
20221204,31,C,53,53C_31blue
20221204,33,A,13,
20221204,33,B,49,
20221204,33,C,30,
20221204,34,A,14,
20221204,34,B,38,
20221204,34,C,83,
20221204,35,A,16,
20221204,35,B,76,
20221204,35,C,53,
20221204,36,A,19,
20221204,36,B,44,
20221204,36,C,66,
20221204,37,A,17,
20221204,37,B,89,
20221204,37,C,94,
20221204,38,A,25,
20221204,38,B,58,
20221204,38,C,76,
20221205,28.5,A,177,
20221205,28.5,B,150,
20221205,28.5,C,42,
20221205,28.5,D,24,
20221205,28.5,E,65,
20221205,31,A,163,
20221205,31,B,130,
20221205,31,C,190,
20221205,31,D,15,
20221205,31,E,75,
20221205,33,A,156,
20221205,33,B,187,
20221205,33,C,13,
20221205,33,D,30,
20221205,33,E,49,
20221205,34,A,192,
20221205,34,B,48,
20221205,34,C,83,
20221205,34,D,38,
20221205,34,E,14,
20221205,35,A,229,
20221205,35,B,76,
20221205,35,C,193,
20221205,35,D,53,
20221205,35,E,16,
20221205,36,A,66,
20221205,36,B,19,
20221205,36,C,44,
20221205,36,D,34,
20221205,36,E,152,
20221205,37,A,110,
20221205,37,B,106,
20221205,37,C,17,
20221205,37,D,94,
20221205,37,E,89,
20221205,38,A,145,
20221205,38,B,84,
20221205,38,C,45,
20221205,38,D,25,
20221205,38,E,58,
20221206,28.5,A,42,
20221206,28.5,B,65,
20221206,28.5,C,24,
20221206,31,A,130,
20221206,31,B,190,
20221206,31,C,163,
20221206,33,A,30,
20221206,33,B,156,
20221206,33,C,49,
20221206,34,A,14,
20221206,34,B,83,
20221206,34,C,38,
20221206,35,A,229,
20221206,35,B,53,
20221206,35,C,76,
20221206,36,A,152,
20221206,36,B,19,
20221206,36,C,44,
20221206,37,A,106,
20221206,37,B,110,
20221206,37,C,89,
20221206,38,A,17,
20221206,38,B,84,
20221206,38,C,58,
20221210,28.5,A,24,
20221210,28.5,B,42,
20221210,28.5,C,209,
20221210,28.5,D,65,
20221210,28.5,E,150,
20221210,28.5,F,117,
20221210,31,A,224,
20221210,31,B,15,
20221210,31,C,190,
20221210,31,D,75,
20221210,31,E,130,
20221210,31,F,163,
20221210,33,A,30,
20221210,33,B,13,
20221210,33,C,156,
20221210,33,D,49,
20221210,33,E,187,
20221210,33,F,248,
20221210,34,A,83,
20221210,34,B,38,
20221210,34,C,192,
20221210,34,D,14,
20221210,34,E,48,
20221210,34,F,241,
20221210,35,A,16,
20221210,35,B,53,
20221210,35,C,76,
20221210,35,D,193,
20221210,35,E,229,
20221210,35,F,237,
20221210,36,A,66,
20221210,36,B,152,
20221210,36,C,44,
20221210,36,D,34,
20221210,36,E,19,
20221210,36,F,202,
20221210,37,A,17,
20221210,37,B,247,
20221210,37,C,89,
20221210,37,D,94,
20221210,37,E,110,
20221210,37,F,106,
20221210,38,A,84,
20221210,38,B,25,
20221210,38,C,58,
20221210,38,D,45,
20221210,38,E,145,
20221210,38,F,200,
20221211,28.5,A,209,
20221211,28.5,B,150,
20221211,28.5,C,177,
20221211,28.5,D,42,
20221211,28.5,E,65,
20221211,28.5,F,24,
20221211,31,A,130,
20221211,31,B,15,
20221211,31,C,163,
20221211,31,D,190,
20221211,31,E,224,
20221211,31,F,75,
20221211,33,A,156,
20221211,33,B,248,
20221211,33,C,49,
20221211,33,D,30,
20221211,33,E,187,
20221211,33,F,13,
20221211,34,A,241,
20221211,34,B,14,
20221211,34,C,83,
20221211,34,D,48,
20221211,34,E,192,
20221211,34,F,38,
20221211,35,A,16,
20221211,35,B,229,
20221211,35,C,53,
20221211,35,D,237,
20221211,35,E,193,
20221211,35,F,76,
20221211,36,A,66,
20221211,36,B,202,
20221211,36,C,44,
20221211,36,D,19,
20221211,36,E,152,
20221211,36,F,34,
20221211,37,A,89,
20221211,37,B,247,
20221211,37,C,106,
20221211,37,D,94,
20221211,37,E,110,
20221211,37,F,17,
20221211,38,A,200,
20221211,38,B,25,
20221211,38,C,45,
20221211,38,D,145,
20221211,38,E,84,
20221211,38,F,58,
20221213,28.5,A,209,
20221213,28.5,B,24,
20221213,28.5,C,177,
20221213,28.5,D,42,
20221213,28.5,E,150,
20221213,28.5,F,65,
20221213,31,A,15,
20221213,31,B,224,
20221213,31,C,75,
20221213,31,D,130,
20221213,31,E,190,
20221213,31,F,163,
20221213,33,A,187,
20221213,33,B,248,
20221213,33,C,156,
20221213,33,D,13,
20221213,33,E,30,
20221213,33,F,49,
20221213,34,A,38,
20221213,34,B,241,
20221213,34,C,192,
20221213,34,D,83,
20221213,34,E,48,
20221213,34,F,14,
20221213,35,A,193,
20221213,35,B,237,
20221213,35,C,16,
20221213,35,D,53,
20221213,35,E,229,
20221213,35,F,76,
20221213,36,A,34,
20221213,36,B,66,
20221213,36,C,44,
20221213,36,D,19,
20221213,36,E,202,
20221213,36,F,152,
20221213,37,A,106,
20221213,37,B,110,
20221213,37,C,17,
20221213,37,D,247,
20221213,37,E,89,
20221213,37,F,94,
20221213,38,A,45,
20221213,38,B,200,
20221213,38,C,25,
20221213,38,D,58,
20221213,38,E,145,
20221213,38,F,84,
20241024,28.5,A,49,
20241024,28.5,B,58,
20241024,31,A,25,
20241024,31,B,177,
20241024,33,A,145,
20241024,33,B,84,
20241024,34,A,30,
20241024,34,B,192,
20241024,35,A,42,
20241024,35,B,19,
20241024,36,A,247,
20241024,36,B,106,
20241024,37,A,200,
20241024,37,B,53,
20241024,38,A,45,
20241024,38,B,75,
20241027,28.5,A,15,
20241027,28.5,B,49,
20241027,28.5,C,130,
20241027,28.5,D,190,
20241027,28.5,E,204,
20241027,28.5,F,58,
20241027,31,A,187,
20241027,31,B,177,
20241027,31,C,25,
20241027,31,D,248,
20241027,31,E,156,
20241027,31,F,237,
20241027,33,A,32,
20241027,33,B,24,
20241027,33,C,209,
20241027,33,D,202,
20241027,33,E,84,
20241027,33,F,145,
20241027,34,A,48,
20241027,34,B,241,
20241027,34,C,192,
20241027,34,D,38,
20241027,34,E,14,
20241027,34,F,30,
20241027,35,A,76,
20241027,35,B,42,
20241027,35,C,152,
20241027,35,D,16,
20241027,35,E,44,
20241027,35,F,19,
20241027,36,A,17,
20241027,36,B,89,
20241027,36,C,110,
20241027,36,D,247,
20241027,36,E,163,
20241027,36,F,106,
20241027,37,A,34,
20241027,37,B,94,
20241027,37,C,83,
20241027,37,D,66,
20241027,37,E,53,
20241027,37,F,200,
20241027,38,A,229,
20241027,38,B,224,
20241027,38,C,75,
20241027,38,D,150,
20241027,38,E,13,
20241027,38,F,45,
20241028,28.5,A,224,
20241028,28.5,B,229,
20241028,28.5,C,45,
20241028,31,A,237,
20241028,31,B,25,
20241028,31,C,248,
20241028,33,A,145,
20241028,33,B,24,
20241028,33,C,202,
20241028,34,A,48,
20241028,34,B,38,
20241028,34,C,192,
20241028,35,A,44,
20241028,35,B,16,
20241028,35,C,42,
20241028,36,A,163,
20241028,36,B,106,
20241028,36,C,247,
20241028,37,A,94,
20241028,37,B,200,
20241028,37,C,34,
20241028,38,A,75,
20241028,38,B,150,
20241028,38,C,13,