date,tank,treatment,rack_no,position,frag_id
20221205,1,baseline,1,1,9-1
20221205,1,baseline,1,2,8-1
20221205,1,baseline,1,3,18-1
20221205,1,baseline,1,4,10-1
20221205,1,baseline,1,5,1-1
20221205,1,baseline,1,6,12-1
20221205,1,baseline,1,7,6-1
20221205,1,baseline,2,1,5-1
20221205,1,baseline,2,2,3-1
20221205,1,baseline,2,3,11-1
20221205,1,baseline,2,4,13-1
20221205,1,baseline,2,5,2-1
20221205,1,baseline,2,6,15-1
20221205,1,baseline,3,1,17-1
20221205,1,baseline,3,2,4-1
20221205,1,baseline,3,3,20-1
20221205,1,baseline,3,4,7-1
20221205,1,baseline,3,5,16-1
20221205,1,baseline,3,6,19-1
20221205,1,baseline,4,1,15-2
20221205,1,baseline,4,2,4-2
20221205,1,baseline,4,3,14-2
20221205,1,baseline,4,4,17-2
20221205,1,baseline,4,5,1-2
20221205,1,baseline,4,6,5-2
20221205,1,baseline,5,1,11-2
20221205,1,baseline,5,2,8-2
20221205,1,baseline,5,3,6-2
20221205,1,baseline,5,4,16-2
20221205,1,baseline,5,5,19-2
20221205,2,baseline,5,6,17-3
20221205,1,baseline,6,1,2-2
20221205,1,baseline,6,2,9-2
20221205,1,baseline,6,3,7-2
20221205,1,baseline,6,4,10-2
20221205,1,baseline,6,5,18-2
20221205,1,baseline,6,6,13-2
20221205,1,baseline,7,1,20-2
20221205,1,baseline,7,2,12-2
20221205,1,baseline,7,3,3-2
20221205,1,baseline,7,4,14-1
20221205,2,baseline,8,1,15-3
20221205,2,baseline,8,2,9-3
20221205,2,baseline,8,3,4-3
20221205,2,baseline,8,4,2-3
20221205,2,baseline,8,5,7-3
20221205,2,baseline,8,6,8-3
20221205,2,baseline,9,1,20-3
20221205,2,baseline,9,2,19-3
20221205,2,baseline,9,3,12-3
20221205,2,baseline,9,4,11-3
20221205,2,baseline,9,5,6-3
20221205,2,baseline,9,6,18-3
20221205,2,baseline,10,1,5-3
20221205,2,baseline,10,2,1-3
20221205,2,baseline,10,3,10-3
20221205,2,baseline,10,4,14-3
20221205,2,baseline,10,5,16-3
20221205,2,baseline,10,6,13-3
20221205,2,baseline,10,7,3-3
20221205,2,baseline,11,1,3-4
20221205,2,baseline,11,2,14-4
20221205,2,baseline,11,3,15-4
20221205,2,baseline,11,4,5-4
20221205,2,baseline,11,5,16-4
20221205,2,baseline,11,6,13-4
20221205,2,baseline,12,1,1-4
20221205,2,baseline,12,2,8-4
20221205,2,baseline,12,3,10-4
20221205,2,baseline,12,4,11-4
20221205,2,baseline,12,5,4-4
20221205,2,baseline,12,6,9-4
20221205,2,baseline,13,1,20-4
20221205,2,baseline,13,2,6-4
20221205,2,baseline,13,3,2-4
20221205,2,baseline,13,4,7-4
20221205,2,baseline,13,5,12-4
20221205,2,baseline,13,6,17-4
20221205,2,baseline,14,1,19-4
20221205,2,baseline,14,2,18-4
20221205,3,baseline,15,1,2-5
20221205,3,baseline,15,2,7-5
20221205,3,baseline,15,3,13-5
20221205,3,baseline,15,4,3-5
20221205,3,baseline,15,5,1-5
20221205,3,baseline,15,6,11-5
20221205,3,baseline,16,1,12-5
20221205,3,baseline,16,2,16-5
20221205,3,baseline,16,3,14-5
20221205,3,baseline,16,4,10-5
20221205,3,baseline,16,5,20-5
20221205,3,baseline,16,6,5-5
20221205,3,baseline,17,1,8-5
20221205,3,baseline,17,2,6-5
20221205,3,baseline,17,3,9-5
20221205,3,baseline,17,4,17-5
20221205,3,baseline,17,5,15-5
20221205,3,baseline,17,6,4-5
20221205,3,baseline,18,1,19-5
20221205,3,baseline,18,2,18-5
20221205,3,baseline,19,1,2-6
20221205,3,baseline,19,2,11-6
20221205,3,baseline,19,3,6-6
20221205,3,baseline,19,4,19-6
20221205,3,baseline,19,5,5-6
20221205,3,baseline,19,6,1-6
20221205,3,baseline,20,1,4-6
20221205,3,baseline,20,2,3-6
20221205,3,baseline,20,3,10-6
20221205,3,baseline,20,4,7-6
20221205,3,baseline,20,5,14-6
20221205,3,baseline,20,6,18-6
20221205,3,baseline,21,1,8-6
20221205,3,baseline,21,2,17-6
20221205,3,baseline,21,3,9-6
20221205,3,baseline,21,4,20-6
20221205,3,baseline,21,5,15-6
20221205,3,baseline,21,6,16-6
20221205,3,baseline,22,1,12-6
20221205,3,baseline,22,2,13-6
20221205,4,baseline,23,1,20-7
20221205,4,baseline,23,2,7-7
20221205,4,baseline,23,3,13-7
20221205,4,baseline,23,4,11-7
20221205,4,baseline,23,5,4-7
20221205,4,baseline,23,6,18-7
20221205,4,baseline,24,1,14-7
20221205,4,baseline,24,2,2-7
20221205,4,baseline,24,3,1-7
20221205,4,baseline,24,4,16-7
20221205,4,baseline,24,5,10-7
20221205,4,baseline,24,6,5-7
20221205,4,baseline,25,1,8-7
20221205,4,baseline,25,2,3-7
20221205,4,baseline,25,3,7-8
20221205,4,baseline,25,4,19-7
20221205,4,baseline,25,5,12-7
20221205,4,baseline,25,6,15-7
20221205,4,baseline,26,1,17-7
20221205,4,baseline,26,2,9-7
20221205,4,baseline,26,3,6-7
20221205,4,baseline,27,1,12-8
20221205,4,baseline,27,2,20-8
20221205,4,baseline,27,3,11-8
20221205,4,baseline,27,4,19-8
20221205,4,baseline,27,5,3-8
20221205,4,baseline,27,6,10-8
20221205,4,baseline,28,1,13-8
20221205,4,baseline,28,2,18-8
20221205,4,baseline,28,3,5-8
20221205,4,baseline,28,4,6-8
20221205,4,baseline,28,5,4-8
20221205,4,baseline,28,6,1-8
20221205,4,baseline,29,1,2-8
20221205,4,baseline,29,2,17-8
20221205,4,baseline,29,3,16-8
20221205,4,baseline,29,4,9-8
20221205,4,baseline,29,5,15-8
20221205,4,baseline,29,6,14-8
20221205,4,baseline,29,7,8-8