date_collected,bag,basket,shield,sds,notes
20241025,5,43,100,22,
20241025,6,50,101,23,
20241025,28,73,102,24,
20241025,37,20,103,25,
20241025,25,47,104,26,
20241025,24,42,105,27,
20241025,32,93,106,28,
20241025,39,45,107,29,
20241025,54,49,108,30,
20241025,44,21,109,31,
20241025,52,30,110,32,
20241025,45,26,111,33,
20241025,56,46,112,34,
20241025,55,24,113,35,
20241025,48,85,114,36,
20241023,8,44,115,1,
20241023,1,29,116,2,
20241023,60,61,82,3,
20241023,10,55,83,4,
20241023,23,171,84,5,
20241023,38,66,85,6,
20241023,21,87,86,7,tubes 7 and 10
20241023,40,95,87,11,
20241023,49,22,88,12,
20241024,50,55,91,13,
20241024,59,22,92,14,
20241024,51,95,93,15,
20241024,46,66,94,16,
20241024,53,87,95,17,
20241024,9,29,96,18,
20241024,7,171,97,19,
20241024,47,61,98,20,
20241024,42,44,99,21,
20241025,4,29,115,37,
20241025,11,171,116,38,
20241025,19,61,117,39,
20241025,18,44,118,40,
20241025,3,50,119,41,
20241025,20,45,120,42,
20241025,12,49,121,43,
20241025,2,85,122,44,
20241025,27,73,123,45,
20241025,26,20,124,46,
20241025,34,43,125,47,
20241025,30,47,126,48,
20241025,33,42,127,49,
20241025,22,93,128,50,
20241025,29,46,129,51,
20241025,31,24,130,52,
20241027,44,99,174,96,
20241027,19,61,175,97,
20241027,43,p4,176,98,
20241027,9,93,177,99,
20241027,60,p3,178,100,
20241027,12,171,179,101,
20241027,52,29,180,102,
20241027,22,193,181,103,
20241027,42,35,182,104,
20241027,15,42,183,105,
20241027,31,p5,184,106,
20241027,33,20,185,107,
20241027,4,26,186,108,
20241027,35,66,187,109,
20241027,37,24,188,110,
20241027,23,46,189,111,
20241027,59,40,190,112,
20241027,56,87,153,75,
20241027,32,22,154,76,
20241027,28,136,155,77,
20241027,27,154,156,78,
20241027,24,52,157,79,
20241027,54,37,158,80,
20241027,14,51,159,81,
20241027,55,99,160,82,
20241027,46,54,161,83,
20241027,20,193,162,84,
20241027,16,16,163,85,
20241027,6,88,164,86,
20241027,25,23,165,87,
20241027,13,35,166,88,
20241027,29,57,167,89,
20241027,7,48,168,90,
20241027,36,40,169,91,
20241027,26,p5,170,92,
20241027,34,p4,171,93,
20241027,45,p3,172,94,
20241027,1,p2,173,95,
20241026,10,29,131,53,
20241026,24,171,132,54,
20241026,37,61,133,55,
20241026,5,44,134,56,
20241026,25,50,135,57,
20241026,6,45,136,58,
20241026,55,49,137,59,
20241026,47,85,138,60,
20241026,38,73,139,61,
20241026,42,20,140,62,
20241026,7,43,141,63,
20241026,16,47,142,64,
20241026,14,42,143,65,
20241026,15,93,144,66,
20241026,36,46,145,67,
20241026,1,24,146,68,
20241026,45,66,147,69,
20241026,35,26,148,70,
20241026,23,55,149,71,
20241026,17,95,150,72,
20241026,46,30,151,73,
20241026,13,21,152,74,
20241029,23,44,191,113,
20241029,37,87,192,114,
20241029,32,22,193,115,
20241029,41,99,194,116,
20241029,1,93,195,117,
20241029,17,61,196,118,
20241029,59,171,197,119,
20241029,42,29,198,120,
20241029,47,193,199,121,
20241029,58,35,200,122,
20241029,12,42,201,123,
20241029,6,45,202,124,
20241029,48,49,203,125,
20241029,15,20,204,126,
20241029,11,153,205,127,
20241029,43,85,206,128,
20241029,16,p1,207,129,
20241029,44,48,208,130,
20241029,51,37,209,131,
20241029,33,p2,210,132,
20241029,57,95,211,133,
20241029,19,46,212,134,
20241029,14,55,213,135,
20241029,13,24,214,136,
20241029,28,88,215,137,
20241029,18,40,216,138,
20241029,20,30,217,139,
20241029,39,66,218,140,
20241029,22,16,219,141,
20241029,50,26,220,142,
20241029,9,21,221,143,
20241029,45,p4,222,144,
20241030,41,p10,223,145,
20241030,3,51,224,146,
20241030,37,54,225,147,
20241030,53,73,226,148,
20241030,39,136,227,149,
20241030,30,52,228,150,
20241030,27,57,229,151,
20241030,35,43,230,152,
20241030,33,23,231,153,
20241030,24,50,232,154,
20241030,45,47,233,155,
20241030,5,p9,234,156,
20241030,2,p8,235,157,
20241030,6,p7,236,158,
20241030,38,p5,237,159,
20241030,48,p6,238,160,
20241030,15,p3,239,161,
20241031,17,50,240,162,
20241031,36,23,241,163,
20241031,3,p11,204,282,
20241031,9,9,205,283,
20241031,13,p1,206,284,
20241031,22,p12,207,285,
20241031,51,48,208,286,
20241031,5,p10,209,287,
20241031,32,141,210,288,
20241031,41,153,211,289,
20241031,34,177,212,290,
20241031,25,73,213,291,
20241031,45,230,214,292,
20241031,7,54,215,293,
20241031,29,170,216,294,
20241031,6,96,217,295,
20241031,2,134,218,296,
20241031,53,72,219,297,
20241031,26,66,220,298,
20241031,30,250,221,299,
20241102,54,23,300,222,
20241102,60,153,301,223,
20241102,52,p10,302,224,
20241102,56,230,303,225,
20241102,15,p9,304,226,
20241102,8,72,305,227,
20241102,19,p11,306,228,
20241102,12,177,307,229,
20241102,11,p1,308,230,
20241102,4,134,309,231,
20241102,43,54,310,232,
20241102,39,73,311,233,
20241102,35,48,312,234,